"","name","Nationality","treated","margin","pre_post"
"83","LESSONIA","FR",1,6.517,0
"84","LESSONIA","FR",1,6.312,1
"85","CHANTIERS DE L'ATLANTIQUE","FR",1,7.618,0
"86","CHANTIERS DE L'ATLANTIQUE","FR",1,10.528,1
"87","NEMERA LA VERPILLIERE","FR",1,6.294,0
"88","NEMERA LA VERPILLIERE","FR",1,11.7,1
"89","NATURENVIE","FR",1,0.92,0
"90","NATURENVIE","FR",1,-1.451,1
"91","DASSAULT SYSTEMES","FR",1,1.887,0
"92","DASSAULT SYSTEMES","FR",1,6.824,1
"93","CENTRE ELABORATION DES VIANDES","FR",1,4.654,0
"94","CENTRE ELABORATION DES VIANDES","FR",1,4.226,1
"95","SAFRAN AIRCRAFT ENGINES","FR",1,22.296,0
"96","SAFRAN AIRCRAFT ENGINES","FR",1,14.516,1
"97","DASSAULT AVIATION","FR",1,3.585,0
"98","DASSAULT AVIATION","FR",1,4.15,1
"99","L'AIR LIQUIDE SOCIETE ANONYME POUR L'ETUDE ET L'EXPLOITATION DES PROCEDES GEORGES CLAUDE","FR",1,6.41,0
"100","L'AIR LIQUIDE SOCIETE ANONYME POUR L'ETUDE ET L'EXPLOITATION DES PROCEDES GEORGES CLAUDE","FR",1,7.817,1
"101","LYNRED","FR",1,-4.943,0
"102","LYNRED","FR",1,0.639,1
"103","SOCIETE L D C","FR",1,9.667,0
"104","SOCIETE L D C","FR",1,16.434,1
"105","SAFRAN LANDING SYSTEMS","FR",1,8.121,0
"106","SAFRAN LANDING SYSTEMS","FR",1,8.749,1
"107","AIRBUS OPERATIONS","FR",1,-0.052,0
"108","AIRBUS OPERATIONS","FR",1,3.639,1
"109","SOPRA STERIA GROUP SA","FR",1,8.915,0
"110","SOPRA STERIA GROUP SA","FR",1,8.75,1
"111","VILMORIN MIKADO","FR",1,3.988,0
"112","VILMORIN MIKADO","FR",1,4.376,1
"113","KEPLER CHEUVREUX SA","FR",1,4.535,0
"114","KEPLER CHEUVREUX SA","FR",1,5.198,1
"115","VICAT","FR",1,NA,0
"116","VICAT","FR",1,-39.133,1
